	word	occurences
0	,	46476
1	the	39533
2	.	37452
3	of	22104
4	to	21305
5	< unk >	20011
6	a	18469
7	and	15346
8	in	14609
9	's	8872
10	for	7743
11	that	7723
12	$	6762
13	is	6735
14	``	6673
15	The	6578
16	''	6500
17	said	5418
18	on	4905
19	%	4718
20	it	4509
21	by	4274
22	from	4238
23	at	4142
24	million	4122
25	as	4054
26	with	3987
27	Mr.	3856
28	are	3629
29	was	3615
30	be	3584
31	its	3382
32	has	3184
33	n't	3132
34	an	3015
35	have	2993
36	will	2982
37	he	2496
38	or	2429
39	company	2429
40	which	2164
41	year	2162
42	would	2108
43	--	2005
44	about	1991
45	says	1948
46	they	1904
47	this	1844
48	more	1842
49	were	1776
50	market	1760
51	In	1706
52	billion	1680
53	But	1668
54	their	1655
55	had	1625
56	up	1625
57	than	1586
58	but	1552
59	U.S.	1552
60	his	1547
61	who	1509
62	been	1500
63	also	1399
64	new	1384
65	share	1358
66	one	1347
67	other	1344
68	:	1292
69	not	1262
70	some	1252
71	I	1188
72	New	1178
73	Corp.	1163
74	years	1130
75	;	1129
76	)	1122
77	shares	1113
78	(	1109
79	stock	1103
80	It	1088
81	could	1033
82	trading	1018
83	Inc.	1018
84	all	1017
85	last	1009
86	two	988
87	&	977
88	because	971
89	out	969
90	when	936
91	do	899
92	only	897
93	can	896
94	York	887
95	into	881
96	after	873
97	president	869
98	A	869
99	such	860
100	business	858
101	Co.	854
102	over	844
103	first	829
104	He	813
105	sales	805
106	companies	790
107	if	787
108	government	780
109	may	772
110	most	766
111	cents	745
112	any	727
113	we	725
114	many	720
115	'	712
116	time	704
117	say	701
118	quarter	682
119	there	680
120	prices	677
121	no	671
122	down	663
123	people	662
124	now	658
125	price	655
126	week	654
127	them	650
128	months	646
129	much	642
130	rose	636
131	so	611
132	interest	609
133	group	604
134	investors	601
135	bonds	596
136	make	592
137	1	592
138	even	590
139	next	576
140	American	576
141	earnings	566
142	did	563
143	what	562
144	you	561
145	three	558
146	through	558
147	We	538
148	yesterday	536
149	program	535
150	earlier	533
151	just	530
152	major	530
153	made	529
154	under	528
155	industry	524
156	stocks	521
157	And	518
158	10	517
159	net	514
160	executive	514
161	Japanese	511
162	chief	510
163	investment	503
164	expected	500
165	money	500
166	month	500
167	rate	499
168	unit	494
169	does	491
170	days	489
171	state	486
172	before	485
173	those	484
174	federal	483
175	officials	479
176	off	479
177	30	473
178	like	472
179	while	467
180	plan	466
181	against	463
182	between	458
183	buy	457
184	issue	452
185	rates	452
186	sell	449
187	They	448
188	recent	448
189	since	447
190	still	446
191	For	441
192	own	440
193	financial	438
194	get	438
195	ago	436
196	Exchange	436
197	That	433
198	she	431
199	big	431
200	Japan	430
201	firm	430
202	chairman	429
203	income	428
204	funds	425
205	these	425
206	back	420
207	her	414
208	profit	413
209	offer	413
210	debt	412
211	well	411
212	part	409
213	should	405
214	higher	405
215	bank	404
216	including	404
217	15	401
218	being	401
219	products	401
220	analysts	400
221	securities	398
222	fell	395
223	take	392
224	past	386
225	work	384
226	This	384
227	1988	383
228	If	382
229	reported	374
230	way	374
231	House	374
232	8	373
233	operations	371
234	end	370
235	tax	369
236	lower	367
237	?	365
238	sold	363
239	plans	363
240	sale	362
241	common	362
242	markets	362
243	both	362
244	yen	361
245	yield	359
246	growth	359
247	during	359
248	pay	359
249	very	355
250	each	355
251	Bank	352
252	bid	352
253	use	351
254	less	349
255	loss	347
256	how	345
257	where	345
258	another	344
259	banks	344
260	economic	343
261	vice	343
262	cash	343
263	high	340
264	50	340
265	few	339
266	five	339
267	costs	338
268	good	338
269	average	337
270	increase	337
271	our	336
272	used	336
273	Bush	334
274	due	333
275	current	333
276	issues	332
277	As	332
278	might	331
279	're	331
280	several	330
281	20	324
282	index	323
283	closed	322
284	Stock	321
285	added	320
286	Friday	318
287	then	317
288	At	317
289	Congress	317
290	least	316
291	1989	316
292	early	314
293	National	313
294	number	311
295	September	309
296	2	309
297	director	309
298	spokesman	309
299	British	309
300	day	308
301	concern	308
302	case	308
303	stake	307
304	report	307
305	foreign	307
306	too	307
307	according	306
308	Some	306
309	California	306
310	public	305
311	assets	304
312	far	301
313	trade	300
314	Oct.	300
315	Treasury	299
316	contract	298
317	law	297
318	think	297
319	same	297
320	board	297
321	There	297
322	going	295
323	third	295
324	based	294
325	officer	293
326	bill	293
327	small	292
328	revenue	292
329	already	291
